,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,streams_in_millions,months_since_released,mthly_streams
528,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,10,5,3423,26,775542072,170,E,Minor,64,14,70,9,0,9,8,775.54207,27,28.72378
529,MONEY,Lisa,1,2021,9,10,2566,13,863625566,140,C#,Minor,83,40,55,16,0,14,23,863.62557,28,30.84377
530,The Motto,"Tiï¿½ï¿½sto, Ava",2,2021,11,4,9151,6,656013912,118,G,Minor,75,46,76,3,0,9,4,656.01391,26,25.2313
531,Happier Than Ever,Billie Eilish,1,2021,7,30,8476,0,1056760045,65,0,Major,31,31,24,76,0,14,4,1056.76004,29,36.44
532,Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2,2021,10,22,7495,17,611994237,120,0,Minor,56,16,67,0,0,11,4,611.99424,26,23.53824
533,traitor,"Juan Cruz Toledo, Huilen Toledo",2,2021,5,21,5257,6,1230855859,176,D#,Major,29,12,33,68,0,12,5,1230.85586,31,39.70503
534,Toxic,BoyWithUke,1,2021,9,10,1795,0,582981380,180,G#,Minor,59,69,61,84,0,46,36,582.98138,28,20.82076
535,drivers license,Olivia Rodrigo,1,2021,1,8,12685,3,1858144199,144,A#,Major,59,21,43,76,0,10,7,1858.1442,36,51.61512
536,Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",3,2021,11,30,648,1,240684449,133,F#,Minor,82,52,61,38,0,14,27,240.68445,25,9.62738
537,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,11,12,4635,5,583687007,93,0,Major,63,21,52,28,0,9,3,583.68701,25,23.34748
538,Donï¿½ï¿½ï¿½t Break My,The Weeknd,1,2022,1,7,1184,0,63803529,122,A#,Major,77,25,62,34,0,23,3,63.80353,24,2.65848
539,Oh My God,Adele,1,2021,11,19,4431,0,466214729,88,C#,Major,53,55,73,9,0,3,5,466.21473,25,18.64859
540,Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5,759,3,236940480,170,F,Minor,70,61,44,40,0,37,4,236.94048,24,9.87252
541,A Tale By Quincy,The Weeknd,1,2022,1,7,733,0,41924466,94,F,Minor,46,55,50,71,0,10,11,41.92447,24,1.74685
542,I AM WOMAN,Emmy Meli,1,2021,11,18,2795,0,225259194,170,A#,Major,65,46,47,12,0,13,16,225.25919,25,9.01037
543,Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",3,2021,10,27,2780,2,393230256,90,E,Minor,79,79,70,57,0,66,8,393.23026,26,15.12424
544,It'll Be Okay,Shawn Mendes,1,2021,12,1,1950,0,287201015,78,G,Major,40,7,29,62,0,9,3,287.20102,25,11.48804
545,Softcore,The Neighbourhood,1,2018,3,9,3947,12,599770206,94,D,Major,57,36,58,5,0,15,3,599.77021,70,8.56815
546,Super Gremlin,Kodak Black,1,2021,10,30,2551,0,342779426,73,D,Major,83,11,41,0,0,36,14,342.77943,26,13.18382
547,Volvï¿,"Aventura, Bad Bunny",2,2021,8,3,5375,10,673801126,176,C#,Major,73,79,86,42,0,7,18,673.80113,29,23.23452
548,Todo De Ti,Rauw Alejandro,1,2020,11,2,11975,8,1168642797,128,D#,Minor,81,57,63,40,1,10,4,1168.6428,38,30.75376
549,Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,2019,8,30,2696,0,540539717,120,G#,Major,58,44,60,44,9,5,6,540.53972,52,10.39499
550,Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,4963,0,383550148,82,D,Major,63,85,62,6,0,35,4,383.55015,26,14.75193
551,Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,6734,0,530511203,95,D,Major,77,40,47,2,0,9,3,530.5112,46,11.53285
552,Every Angel is Terrifying,The Weeknd,1,2022,1,7,715,0,37307967,118,0,Major,44,52,94,11,0,4,29,37.30797,24,1.5545
553,Tacones Rojos,Sebastian Yatra,1,2021,10,22,3047,9,510876816,123,B,Minor,75,93,86,8,0,14,3,510.87682,26,19.64911
554,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,2021,3,19,14140,0,1445941661,90,0,Major,63,49,68,38,0,42,18,1445.94166,33,43.81641
555,Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,11215,21,1763363713,110,E,Minor,73,14,57,40,0,11,5,1763.36371,38,46.40431
556,"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29,1678,12,374191487,96,C#,Minor,66,76,82,47,0,10,32,374.19149,24,15.59131
557,Lï¿½ï¿½ï¿,Stromae,1,2022,1,9,2035,0,108809090,88,D,Minor,56,58,55,35,0,23,11,108.80909,24,4.53371
558,Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,9,8,2780,2,436695353,98,A,Minor,73,60,85,17,0,24,5,436.69535,28,15.59626
559,Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,2021,9,24,4091,0,421040617,110,0,Minor,72,67,68,0,0,14,4,421.04062,27,15.5941
560,Life Goes On,Oliver Tree,1,2020,7,17,2868,0,501541661,80,0,Major,70,57,49,19,0,12,8,501.54166,42,11.94147
561,Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,3643,0,354065229,110,C#,Minor,86,31,53,43,0,11,6,354.06523,27,13.11353
562,Butter,BTS,1,2021,5,21,4779,6,1143647827,110,G#,Major,79,70,36,0,0,6,11,1143.64783,31,36.89187
563,pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,7,3517,0,311395144,78,C#,Minor,77,49,42,1,1,13,19,311.39514,24,12.9748
564,You Right,"Doja Cat, The Weeknd",2,2021,6,24,5073,0,672656250,129,G#,Major,83,44,62,2,0,8,6,672.65625,30,22.42188
565,deja vu,Olivia Rodrigo,1,2021,4,1,7545,4,1256880657,181,A,Major,44,22,60,61,0,42,9,1256.88066,33,38.08729
566,Dynamite,BTS,1,2020,8,21,8528,5,1692897992,114,F#,Minor,75,74,77,1,0,9,10,1692.89799,40,42.32245
567,TO THE MOON,Jnr Choi,1,2021,11,5,2979,0,245095641,144,D,Major,74,39,65,5,1,11,35,245.09564,26,9.42676
568,Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,11,7731,2,686734357,101,D,Major,66,18,68,9,0,12,4,686.73436,60,11.44557
569,Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,1057,0,261414174,84,D,Major,67,78,63,29,0,12,5,261.41417,26,10.05439
570,Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,3272,19,610045621,154,F#,Major,66,63,69,21,0,11,7,610.04562,30,20.33485
571,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,14417,0,1115880852,148,F,Major,59,72,62,18,0,9,3,1115.88085,34,32.82002
572,Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,5199,0,594482982,146,F,Minor,85,22,37,13,0,7,30,594.48298,28,21.23154
573,Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2,2021,8,1,6026,0,566954746,120,B,Minor,77,51,79,20,0,26,6,566.95475,29,19.55016
575,LA FAMA (with The Weeknd),"The Weeknd, ROSALï¿½",2,2021,11,11,4640,3,374706940,136,0,Minor,77,82,30,95,0,13,5,374.70694,26,14.41181
576,The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19,1150,0,184937148,141,C#,Major,59,56,63,12,0,6,36,184.93715,25,7.39749
577,Phantom Regret by Jim,The Weeknd,1,2022,1,7,768,0,31959571,108,A,Minor,46,23,48,75,30,14,4,31.95957,24,1.33165
578,Dos Oruguitas,Sebastian Yatra,1,2021,11,19,925,0,167076418,94,0,Major,42,47,36,76,0,9,5,167.07642,25,6.68306
579,Freaks,Surf Curse,1,2015,5,10,3006,3,824420218,180,A,Major,35,41,94,0,63,5,5,824.42022,105,7.85162
580,Acapulco,Jason Derulo,1,2021,9,1,3098,0,363467642,122,A#,Major,77,51,79,5,0,16,5,363.46764,28,12.98099
581,Daddy Issues,The Neighbourhood,1,2015,10,30,9771,4,1127468248,85,A#,Major,59,33,52,7,15,12,3,1127.46825,99,11.38857
582,thought i was playing,"21 Savage, Gunna",2,2022,1,7,807,0,60680939,148,C#,Major,68,29,73,0,0,7,7,60.68094,24,2.52837
583,ELEVEN,IVE,1,2021,12,1,521,1,247737946,120,A,Major,83,59,73,6,0,5,11,247.73795,25,9.90952
584,Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,2020,7,24,12854,0,1699402402,91,G,Minor,70,76,72,22,0,27,4,1699.4024,41,41.44884
585,What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,19,802,0,154797871,120,E,Major,72,54,71,26,0,10,4,154.79787,25,6.19191
586,DANCE CRIP,Trueno,1,2021,11,17,731,0,198883004,106,0,Major,86,86,79,11,0,8,9,198.883,25,7.95532
587,Miserable Man,David Kushner,1,2022,1,7,788,0,124407432,110,A#,Major,63,31,35,93,0,29,3,124.40743,24,5.18364
588,happier,Olivia Rodrigo,1,2021,5,21,3069,4,850608354,169,F#,Major,39,36,45,81,0,8,13,850.60835,31,27.43898
589,Praise God,Kanye West,1,2021,8,29,4651,0,376333030,118,C#,Major,80,21,55,1,0,26,17,376.33303,28,13.44047
590,Get Into It (Yuh),Doja Cat,1,2021,6,25,4999,0,516784627,92,G#,Minor,91,79,66,32,0,9,16,516.78463,30,17.22615
591,Before You Go,Lewis Capaldi,1,2019,11,1,8327,24,1608045237,112,D#,Major,45,19,60,63,0,9,6,1608.04524,50,32.1609
592,Sky,Playboi Carti,1,2020,12,25,3297,3,506778838,140,D,Major,79,56,91,26,0,13,21,506.77884,36,14.07719
593,Rolling in the Deep,Adele,1,2010,11,29,35684,6,1472799873,105,G#,Major,73,52,76,13,0,5,3,1472.79987,159,9.26289
594,Sobrio,Maluma,1,2021,7,8,3506,10,513643924,178,F,Major,76,63,77,14,0,15,22,513.64392,30,17.12146
595,Peru,"Ed Sheeran, Fireboy DML",2,2021,12,23,2999,0,261286503,108,G,Minor,96,71,42,57,0,8,9,261.2865,24,10.88694
596,favorite crime,Olivia Rodrigo,1,2021,5,21,3681,0,783706581,173,A,Major,40,19,29,86,0,34,4,783.70658,31,25.28086
597,Thunder,"Prezioso, Gabry Ponte, LUM!X",3,2021,5,7,4846,10,422691058,101,C#,Major,67,40,90,3,0,34,6,422.69106,32,13.2091
598,The Business,Tiï¿½ï¿,1,2020,1,1,14311,0,1062345656,120,G#,Minor,80,24,62,41,2,11,23,1062.34566,48,22.1322
599,positions,Ariana Grande,1,2020,10,23,8207,0,1252563873,144,0,Major,73,66,80,44,0,9,12,1252.56387,38,32.96221
600,I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,1,2021,3,19,4873,0,851070493,133,C#,Major,75,96,61,0,0,18,4,851.07049,33,25.79001
