,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,streams_in_millions,months_since_released,mthly_streams
667,"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",7,2022,1,14,1034,1,245400167,174,F,Minor,67,74,75,44,0,7,30,245.40017,23,10.66957
668,California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",3,1995,12,28,18773,0,579395142,92,G,Major,77,76,84,3,0,38,4,579.39514,341,1.69911
669,Forgot About Dre,"Eminem, Dr. Dre",2,1999,1,1,19067,0,675039469,134,G#,Major,93,61,74,9,0,17,8,675.03947,304,2.22052
670,Down Under (feat. Colin Hay),"Luude, Colin Hay",2,2021,11,19,3541,2,252871192,172,B,Minor,31,4,86,1,0,28,17,252.87119,25,10.11485
671,Mujeriego,Ryan Castro,1,2021,12,17,1492,0,231996128,80,A,Major,76,92,62,6,0,8,13,231.99613,24,9.66651
672,HUMBLE.,Kendrick Lamar,1,2017,3,30,33206,1,1929770265,150,C#,Minor,91,42,60,0,0,9,12,1929.77026,82,23.53378
673,Stan,"Eminem, Dido",2,1999,11,21,17115,0,918915401,80,F#,Minor,78,53,74,4,0,45,21,918.9154,293,3.13623
674,Contection,"GODZZ__-, Zakaria",2,2020,1,16,6955,0,1180896317,166,A#,Minor,81,83,75,14,0,29,34,1180.89632,48,24.60201
675,Swim,Chase Atlantic,1,2017,10,4,2742,0,498960285,120,G#,Major,67,8,54,27,0,8,4,498.96028,75,6.6528
676,A Tu Merced,Bad Bunny,1,2020,2,29,4214,11,685071800,92,0,Major,86,89,79,17,0,11,6,685.0718,46,14.89287
677,Numb Little Bug,Em Beihold,1,2022,1,28,2026,0,258714692,85,G#,Minor,74,61,52,30,0,26,9,258.71469,23,11.24846
678,212,"Mainstreet, Chefin",2,2022,1,15,352,0,143139338,154,D,Minor,79,86,52,66,0,9,7,143.13934,23,6.22345
679,Problemï¿½,"Alvaro Diaz, Rauw Alejandro",2,2021,10,22,1517,0,209768491,92,D,Minor,73,37,74,28,0,14,6,209.76849,26,8.06802
680,Bussin,"Nicki Minaj, Lil Baby",2,2022,2,11,847,0,64714573,140,B,Major,89,75,70,6,0,13,5,64.71457,22,2.94157
681,Worst Day,Future,1,2022,2,11,910,0,50746620,89,C#,Major,65,60,60,11,0,10,40,50.74662,22,2.30666
682,Malvada,Zï¿½ï¿½ Fe,1,2022,1,28,601,0,154119539,135,F,Minor,89,89,86,16,0,8,5,154.11954,23,6.70085
683,Hrs and Hrs,Muni Long,1,2021,11,19,1800,0,181328253,140,G#,Minor,51,66,53,60,0,11,18,181.32825,25,7.25313
684,Alien Blues,Vundabar,1,2015,7,24,1930,0,370068639,82,D#,Major,47,44,76,8,91,9,3,370.06864,102,3.62812
685,Thinking Out Loud,Ed Sheeran,1,2014,1,1,33032,0,2280566092,79,D,Major,78,58,45,47,0,18,3,2280.56609,121,18.84765
686,Still Don't Know My Name,Labrinth,1,2019,10,4,6332,0,563902868,88,F,Major,31,31,63,47,27,21,12,563.90287,51,11.05692
687,Christmas Tree,V,1,2021,12,24,509,9,317622165,139,F,Major,44,18,38,70,0,12,4,317.62216,24,13.23426
688,Mal Feito - Ao Vivo,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",2,2022,1,14,971,2,291709698,124,0,Minor,73,68,83,55,0,90,7,291.7097,23,12.68303
689,When I R.I.P.,Labrinth,1,2019,10,4,2578,0,203680270,80,G#,Minor,39,45,55,73,0,9,21,203.68027,51,3.99373
690,Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,2,4,1064,0,81350745,120,C#,Minor,84,54,51,47,0,12,40,81.35074,23,3.53699
691,Forever,Labrinth,1,2019,10,4,3618,0,282883169,80,E,Minor,56,19,46,92,72,11,3,282.88317,51,5.54673
692,Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,2,4,1040,0,64787943,117,C#,Major,92,62,86,11,0,24,24,64.78794,23,2.81687
693,Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2,2019,6,19,15010,2,2484812918,117,A,Minor,76,77,52,4,0,8,3,2484.81292,55,45.17842
694,NEW MAGIC WAND,"Tyler, The Creator",2,2019,5,16,4708,0,461437791,140,F,Minor,62,46,73,10,0,67,11,461.43779,56,8.23996
695,Adore You,Harry Styles,1,2019,12,6,13454,1,1439191367,99,G#,Major,68,57,77,2,0,10,5,1439.19137,49,29.37125
696,La Santa,"Daddy Yankee, Bad Bunny",2,2020,2,29,4890,20,759208783,93,C#,Major,74,59,87,3,0,8,5,759.20878,46,16.50454
697,Something In The Way - Remastered 2021,Nirvana,1,1991,9,24,9514,0,368646862,106,G#,Major,44,8,20,74,42,11,3,368.64686,392,0.94043
698,Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,2022,3,11,3501,0,299634472,124,G,Major,81,68,63,17,0,10,22,299.63447,22,13.61975
699,Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,2022,3,4,6111,4,756907987,95,G#,Major,76,96,70,18,0,33,4,756.90799,22,34.40491
700,Una Noche en Medellï¿½,Cris Mj,1,2022,1,21,5415,32,682475162,96,A#,Minor,87,82,53,10,0,5,8,682.47516,23,29.67283
701,Envolver,Anitta,1,2021,11,11,4673,2,546191065,92,E,Minor,81,40,73,15,0,9,8,546.19106,26,21.00735
702,Starlight,Dave,1,2022,3,3,1856,3,229473310,124,G,Major,95,36,37,35,0,10,28,229.47331,22,10.4306
703,Hati-Hati di Jalan,Tulus,1,2022,3,3,200,2,202677468,72,F#,Major,64,76,44,70,9,12,4,202.67747,22,9.21261
704,"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,1,2022,2,4,1888,0,121913181,71,0,Minor,28,26,20,19,0,30,3,121.91318,23,5.30057
705,DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",2,2022,2,1,911,2,208166039,135,A,Minor,78,55,57,4,0,10,8,208.16604,23,9.0507
706,Yo Voy (feat. Daddy Yankee),Zion & Lennox,1,2004,5,4,2954,2,527033089,95,A#,Major,81,56,70,4,0,5,24,527.03309,239,2.20516
707,"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3,461,0,94616487,71,C#,Minor,59,70,74,56,0,11,40,94.61649,22,4.30075
708,Jordan,Ryan Castro,1,2021,4,30,2844,2,394030335,180,A#,Minor,80,71,68,6,0,10,37,394.03034,32,12.31345
709,Nail Tech,Jack Harlow,1,2022,2,18,2939,0,193443895,150,E,Minor,65,11,58,0,0,12,9,193.4439,22,8.7929
710,Chale,Eden Muï¿½ï,1,2022,2,18,695,11,299648208,189,G#,Major,55,86,44,40,0,7,4,299.64821,22,13.62037
711,DARARI,Treasure,1,2022,2,15,328,0,182978249,85,0,Major,72,55,64,49,0,7,4,182.97825,22,8.31719
712,Ya No Somos Ni Seremos,Christian Nodal,1,2022,2,18,866,16,319757142,140,G,Major,59,73,45,44,0,34,3,319.75714,22,14.53442
713,Thinking with My Dick,"Kevin Gates, Juicy J",2,2013,7,16,1550,0,109091573,81,0,Major,77,68,70,6,0,17,20,109.09157,127,0.85899
714,Freaky Deaky,"Tyga, Doja Cat",2,2022,2,25,1729,0,153240879,104,D,Minor,80,24,65,2,0,9,4,153.24088,22,6.96549
715,this is what falling in love feels like,JVKE,1,2021,9,3,2005,0,346127840,129,B,Major,42,33,44,62,0,8,6,346.12784,28,12.36171
716,La Zona,Bad Bunny,1,2020,2,29,1188,0,312622938,94,C#,Minor,76,81,80,20,0,25,4,312.62294,46,6.79615
717,Bohemian Rhapsody - Remastered 2011,Queen,1,1975,10,31,40112,3,2197010679,71,0,Minor,41,23,40,27,0,30,5,2197.01068,586,3.74916
718,Hope,XXXTENTACION,1,2018,3,16,3659,0,1200808494,146,A,Minor,59,23,46,66,0,15,6,1200.80849,70,17.15441
719,Levitating,Dua Lipa,1,2020,3,27,9833,0,797196073,103,F#,Minor,69,90,88,5,0,29,8,797.19607,45,17.71547
720,Wake Me Up - Radio Edit,Avicii,1,2013,1,1,50887,34,1970673297,124,D,Major,53,66,78,0,0,16,5,1970.6733,133,14.81709
721,"jealousy, jealousy",Olivia Rodrigo,1,2021,5,21,3257,0,665765558,164,A#,Minor,70,71,58,24,0,7,13,665.76556,31,21.47631
722,Monï¿½ï¿½y so,YEAT,1,2021,9,10,1473,0,263779030,138,D,Major,69,35,57,12,0,10,9,263.77903,28,9.42068
723,Demasiadas Mujeres,C. Tangana,1,2020,10,8,2226,0,339473453,126,A,Minor,67,37,46,13,0,10,39,339.47345,39,8.70445
724,Something Just Like This,"The Chainsmokers, Coldplay",2,2017,2,22,23375,21,2204080728,103,B,Minor,61,47,65,3,0,17,4,2204.08073,83,26.55519
725,Closer,"The Chainsmokers, Halsey",2,2016,5,31,28032,0,2591224264,95,G#,Major,75,64,52,41,0,11,3,2591.22426,92,28.16548
726,O.O,NMIXX,1,2022,2,22,290,0,135444283,200,B,Minor,39,28,77,4,0,6,29,135.44428,22,6.15656
727,Somebody That I Used To Know,"Gotye, Kimbra",2,2011,1,1,42798,0,1457139296,129,0,Major,86,75,52,54,0,10,4,1457.1393,158,9.2224
728,Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,2019,6,28,2605,0,236872197,98,F#,Minor,68,33,43,38,0,36,14,236.8722,54,4.38652
729,First Class,Jack Harlow,1,2022,4,8,8737,0,694525298,107,G#,Major,91,32,56,3,0,11,10,694.5253,21,33.07263
730,Plan A,Paulo Londra,1,2022,3,23,1105,0,240661097,174,0,Major,58,56,83,5,0,7,4,240.6611,21,11.46005
731,Fuera del mercado,Danny Ocean,1,2022,2,17,2499,21,421365166,92,G#,Major,45,27,67,32,0,13,14,421.36517,22,19.15296
732,X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2,2022,3,25,2697,1,349746291,90,G,Major,81,59,83,9,0,11,5,349.74629,21,16.65459
733,When You're Gone,Shawn Mendes,1,2022,3,31,2092,0,255120451,147,F,Major,60,58,69,2,0,58,4,255.12045,21,12.14859
734,In My Head,Lil Tjay,1,2022,4,1,1185,0,190981339,143,C#,Major,68,41,55,16,0,10,12,190.98134,21,9.09435
735,Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303,101,D#,Minor,76,63,71,3,0,10,3,924.1933,109,8.47884
736,LOVE DIVE,IVE,1,2022,4,5,753,8,305771063,118,C#,Minor,70,54,71,0,0,33,4,305.77106,21,14.56053
737,Pantysito,"Feid, Alejo, Robi",3,2022,3,18,2995,0,273005485,98,G,Minor,83,63,74,14,0,16,6,273.00549,21,13.00026
738,Chance,Paulo Londra,1,2022,4,6,225,0,89566512,138,C#,Minor,72,22,46,24,0,9,6,89.56651,21,4.26507
739,Cool for the Summer,Demi Lovato,1,2015,1,1,9243,0,677389855,114,F,Minor,59,30,62,1,0,8,4,677.38986,109,6.21459
740,psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,4,7,918,0,75476209,180,G,Minor,63,45,64,34,0,9,8,75.47621,21,3.59411
741,Angel Baby,Troye Sivan,1,2021,9,9,1959,9,408843328,145,B,Major,56,41,57,1,0,13,3,408.84333,28,14.60155
742,Vampiro,"Matuï¿½ï¿½, Wiu, ",3,2022,1,30,540,4,187772591,115,G#,Minor,78,63,64,1,0,7,4,187.77259,23,8.16403
743,Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022,3,31,859,0,178512385,82,A#,Major,79,48,84,13,0,21,23,178.51238,21,8.50059
744,Right On,Lil Baby,1,2022,4,8,1116,0,101780047,166,D,Major,70,22,61,2,0,10,34,101.78005,21,4.84667
745,Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",3,2022,3,30,273,2,118381354,92,0,Major,86,91,79,29,0,60,16,118.38135,21,5.63721
746,That's Hilarious,Charlie Puth,1,2022,4,8,686,2,146363130,108,F#,Major,71,55,44,74,0,11,6,146.36313,21,6.96967
747,Soy El Unico,Yahritza Y Su Esencia,1,2022,3,25,226,0,126443991,84,E,Minor,71,63,45,45,0,11,3,126.44399,21,6.02114
748,RUMBATï¿½,Daddy Yankee,1,2022,3,25,1264,0,157990698,95,D#,Minor,69,90,91,6,0,35,4,157.9907,21,7.52337
749,sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,17,870,0,176290831,135,D#,Minor,93,77,45,25,0,13,27,176.29083,21,8.3948
750,Falling,Harry Styles,1,2019,12,13,7556,0,1023187129,110,E,Major,57,6,27,84,0,9,3,1023.18713,49,20.88137
751,Sigue,"Ed Sheeran, J Balvin",2,1996,11,24,1370,0,106933107,88,G,Major,89,59,64,5,0,19,7,106.93311,329,0.32502
752,Fim de Semana no Rio,teto,1,2022,3,30,315,2,139193812,119,C#,Minor,87,28,50,12,0,10,10,139.19381,21,6.62828
753,MANIAC,Stray Kids,1,2022,3,18,651,0,212234990,120,C#,Major,58,71,80,15,0,7,41,212.23499,21,10.10643
754,There's Nothing Holdin' Me Back,Shawn Mendes,1,2016,9,23,12382,0,1714490998,122,D,Major,86,97,80,36,0,9,6,1714.491,88,19.48285
755,IDGAF (with blackbear),"Blackbear, BoyWithUke",2,2022,3,18,625,0,197643795,98,F,Major,78,83,75,41,0,27,8,197.6438,21,9.41161
756,Golden,Harry Styles,1,2019,12,13,8429,1,807015863,140,E,Minor,45,25,84,21,0,13,6,807.01586,49,16.46971
757,Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,2013,1,1,52898,0,933815613,116,F#,Minor,79,87,81,4,0,10,4,933.81561,133,7.02117
758,Ain't Shit,Doja Cat,1,2021,6,25,3436,0,499710590,124,D#,Major,86,62,49,51,0,35,21,499.71059,30,16.65702
759,"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",6,2022,2,25,918,0,120847157,105,A,Minor,91,73,72,13,0,9,15,120.84716,22,5.49305
760,Still Life,BIGBANG,1,2022,4,5,181,0,53909146,118,G#,Major,68,24,58,44,0,6,3,53.90915,21,2.5671
761,Photograph,Ed Sheeran,1,2014,6,20,18778,3,2236667932,108,E,Major,61,20,38,61,0,10,5,2236.66793,116,19.28162
762,Love Yourself,Justin Bieber,1,2015,11,9,22730,5,2123309722,100,E,Major,61,53,38,84,0,28,44,2123.30972,99,21.44757
763,N95,Kendrick Lamar,1,2022,5,13,5542,0,301242089,140,D#,Minor,81,39,66,38,0,12,14,301.24209,19,15.85485
764,About Damn Time,Lizzo,1,2022,4,14,9021,0,723894473,109,A#,Minor,84,72,74,10,0,34,7,723.89447,20,36.19472
765,Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,2022,5,13,4627,0,237351106,101,C#,Minor,78,40,74,36,0,17,27,237.35111,19,12.49216
766,Despuï¿½ï¿½s de la P,Bad Bunny,1,2022,5,6,2229,0,461558540,78,F,Major,56,61,90,36,0,18,31,461.55854,20,23.07793
767,Un Ratito,Bad Bunny,1,2022,5,6,1112,6,417230415,93,0,Minor,79,22,55,31,0,12,5,417.23042,20,20.86152
768,United In Grief,Kendrick Lamar,1,2022,5,13,2575,0,156898322,87,G#,Major,52,32,83,24,0,17,43,156.89832,19,8.25781
769,Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,2022,5,13,3107,0,127309180,153,A#,Minor,55,50,78,19,0,11,35,127.30918,19,6.70048
770,Yo No Soy Celoso,Bad Bunny,1,2022,5,6,1179,0,313113297,142,0,Major,87,93,59,28,0,17,5,313.1133,20,15.65566
771,Rich Spirit,Kendrick Lamar,1,2022,5,13,3486,0,173702135,96,A#,Minor,85,41,43,39,0,12,21,173.70214,19,9.14222
772,Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",2,2022,5,12,2942,0,271666301,125,0,Major,50,39,78,4,0,11,33,271.6663,19,14.29823
773,Me Fui de Vacaciones,Bad Bunny,1,2022,5,6,1443,0,305650299,85,A#,Major,71,43,65,23,0,9,5,305.6503,20,15.28252
774,Silent Hill,"Kendrick Lamar, Kodak Black",2,2022,5,13,3028,0,123216717,140,C#,Minor,92,78,57,46,0,14,9,123.21672,19,6.48509
775,La Corriente,"Tony Dize, Bad Bunny",2,2022,5,6,1796,8,479655659,196,B,Minor,66,58,79,23,0,22,20,479.65566,20,23.98278
776,Count Me Out,Kendrick Lamar,1,2022,5,13,2729,0,126191104,134,G,Major,78,51,43,69,0,14,9,126.1911,19,6.64164
777,Andrea,"Buscabulla, Bad Bunny",2,2022,5,6,1195,0,344055883,103,C#,Minor,80,45,62,76,0,10,38,344.05588,20,17.20279
778,Dos Mil 16,Bad Bunny,1,2022,5,6,892,3,338422004,130,C#,Major,82,50,67,12,0,13,5,338.422,20,16.9211
779,We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,5,13,1635,0,68895644,108,B,Major,65,52,69,31,0,8,36,68.89564,19,3.62609
780,Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022,5,13,2291,0,86176890,123,G#,Major,61,66,71,53,0,32,46,86.17689,19,4.53563
781,Un Coco,Bad Bunny,1,2022,5,6,1029,28,403231558,152,B,Major,84,74,69,21,0,18,6,403.23156,20,20.16158
782,Otro Atardecer,"Bad Bunny, The Marï¿½ï",2,2022,5,6,1681,7,319546754,108,D,Major,78,55,60,59,0,7,4,319.54675,20,15.97734
783,Worldwide Steppers,Kendrick Lamar,1,2022,5,13,1480,0,61739839,72,A#,Minor,56,56,47,76,0,8,36,61.73984,19,3.24947
784,Aguacero,Bad Bunny,1,2022,5,6,829,0,283359161,121,F#,Minor,86,67,65,42,0,35,7,283.35916,20,14.16796
785,Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,5,13,2308,0,76831876,138,D#,Minor,57,71,82,19,0,15,29,76.83188,19,4.04378
786,Un Verano Sin Ti,Bad Bunny,1,2022,5,6,1004,1,283332261,188,F,Minor,50,41,50,69,0,12,6,283.33226,20,14.16661
787,ULTRA SOLO,"Polima WestCoast, Pailita",2,2022,2,14,1367,0,307752576,110,C#,Major,80,26,85,23,0,11,21,307.75258,22,13.98875
788,Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,1,2022,5,6,1112,3,279737940,105,G#,Major,81,77,79,19,0,47,8,279.73794,20,13.9869
789,El Apagï¿½,Bad Bunny,1,2022,5,6,1209,0,212351890,118,G#,Major,63,60,70,5,0,9,31,212.35189,20,10.61759
790,Callaita,"Bad Bunny, Tainy",2,2019,5,31,9539,15,1304313953,176,D,Major,61,24,62,60,0,24,31,1304.31395,55,23.7148
791,Dua Lipa,Jack Harlow,1,2022,5,6,1992,0,150500965,158,B,Major,83,41,65,0,10,11,8,150.50096,20,7.52505
792,Agosto,Bad Bunny,1,2022,5,6,897,0,246127838,115,C#,Minor,85,72,58,9,0,49,12,246.12784,20,12.30639
793,House Of Memories,Panic! At The Disco,1,2016,1,15,2948,0,582863434,110,B,Minor,51,48,82,0,0,5,3,582.86343,96,6.07149
794,Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,5,13,1860,0,58687425,174,A,Major,73,26,54,30,0,34,32,58.68742,19,3.08881
795,That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,2022,4,29,802,0,212109195,130,E,Major,91,91,96,3,0,3,9,212.1092,20,10.60546
796,In The Stars,Benson Boone,1,2022,4,29,2224,8,382199619,78,A#,Major,36,30,54,34,0,14,5,382.19962,20,19.10998
797,Rich - Interlude,Kendrick Lamar,1,2022,5,13,1103,0,41210087,104,G,Major,44,74,42,88,0,9,9,41.21009,19,2.16895
798,SUPERMODEL,Mï¿½ï¿½ne,1,2022,5,13,2265,0,231657891,121,G,Major,64,80,88,0,0,12,6,231.65789,19,12.19252
799,Stefania (Kalush Orchestra),KALUSH,1,2022,3,10,555,0,53729194,105,D,Major,83,32,82,14,0,12,4,53.72919,22,2.44224
800,Thousand Miles,The Kid Laroi,1,2022,4,22,2050,0,244741137,81,G,Major,38,20,66,9,0,9,8,244.74114,20,12.23706
801,Crown,Kendrick Lamar,1,2022,5,13,1493,0,42485571,170,C#,Minor,37,14,24,80,0,11,4,42.48557,19,2.23608
802,Auntie Diaries,Kendrick Lamar,1,2022,5,13,1545,0,37778188,78,G,Major,43,60,38,76,1,48,38,37.77819,19,1.98833
803,PUFFIN ON ZOOTIEZ,Future,1,2022,4,29,2350,0,254218729,125,G#,Major,88,28,66,6,0,13,31,254.21873,20,12.71094
804,Mirror,Kendrick Lamar,1,2022,5,13,1929,0,53603447,92,E,Minor,66,29,65,23,0,8,7,53.60345,19,2.82123
805,Beautiful Girl,Luciano,1,2022,4,22,710,4,160035717,140,B,Minor,84,61,42,31,0,9,9,160.03572,20,8.00179
806,"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",2,2022,4,25,928,0,164163229,96,0,Major,61,32,90,25,0,10,9,164.16323,20,8.20816
807,Savior - Interlude,Kendrick Lamar,1,2022,5,13,1194,0,37091576,118,F,Minor,66,83,43,84,0,19,19,37.09158,19,1.95219
808,Pasoori,"Shae Gill, Ali Sethi",2,2022,2,6,349,6,284249832,92,B,Minor,71,67,60,7,0,6,4,284.24983,23,12.35869
809,Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,2022,5,13,1890,0,33381454,140,G#,Minor,49,50,37,87,0,11,35,33.38145,19,1.75692
810,TUS Lï¿½ï¿½GR,"Sech, Mora",2,2022,4,1,1308,2,184622518,174,C#,Major,68,45,71,18,0,11,25,184.62252,21,8.79155
811,Where Did You Go?,"MNEK, Jax Jones",2,2022,1,26,4531,0,300983101,127,A#,Major,77,53,78,19,0,29,4,300.9831,23,13.08622
812,I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,2022,5,6,1657,0,121077868,96,B,Major,71,37,52,62,0,11,36,121.07787,20,6.05389
813,Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,2022,4,29,1351,0,106919680,150,G#,Minor,82,82,66,13,0,11,6,106.91968,20,5.34598
814,ZOOM,Jessi,1,2022,4,13,608,0,136996305,100,F#,Major,87,46,60,1,0,13,16,136.9963,20,6.84982
815,SloMo,Chanel,1,2021,12,24,1211,0,65719930,105,C#,Minor,73,59,81,13,0,9,6,65.71993,24,2.73833
816,FEARLESS,LE SSERAFIM,1,2022,5,2,629,0,229497852,104,G,Major,86,43,62,5,0,13,14,229.49785,20,11.47489
817,10 Things I Hate About You,Leah Kate,1,2022,3,23,1301,0,185550869,154,G#,Major,54,45,79,1,0,17,5,185.55087,21,8.83576
818,SPACE MAN,Sam Ryder,1,2022,2,22,1329,0,54682594,80,B,Major,47,33,83,18,0,10,5,54.68259,22,2.48557
819,With you,"HA SUNG WOON, Jimin",2,2022,4,24,343,2,240580042,150,D#,Major,53,14,43,64,0,13,3,240.58004,20,12.029
820,Iris,The Goo Goo Dolls,1,1998,3,31,13101,9,1284942608,156,B,Minor,32,49,72,0,0,9,4,1284.94261,313,4.10525
821,The Heart Part 5,Kendrick Lamar,1,2022,5,8,2939,0,71423324,98,G#,Minor,76,79,81,18,0,6,34,71.42332,20,3.57117
822,San Lucas,Kevin Kaarl,1,2019,11,7,407,1,244891912,92,G,Major,58,27,36,86,0,9,3,244.89191,50,4.89784
823,This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2022,5,6,1492,0,132171975,144,E,Major,47,7,50,32,0,7,4,132.17198,20,6.6086
824,Good Looking,Suki Waterhouse,1,2017,10,20,2264,0,184706613,150,E,Major,37,27,56,8,0,13,3,184.70661,75,2.46275
825,Flowers,Lauren Spencer Smith,1,2021,8,9,801,0,184826429,138,D#,Major,70,31,44,84,0,9,39,184.82643,29,6.37333
826,Yet To Come,BTS,1,2022,6,10,829,0,302006641,172,C#,Major,56,68,89,4,0,33,19,302.00664,18,16.77815
827,Run BTS,BTS,1,2022,6,10,736,0,330881149,77,G#,Major,72,70,82,2,0,4,17,330.88115,18,18.38229
828,Music For a Sushi Restaurant,Harry Styles,1,2022,5,20,4449,1,334733572,107,B,Major,72,36,72,26,6,11,4,334.73357,19,17.61756
829,Matilda,Harry Styles,1,2022,5,20,3218,3,366214458,114,D,Major,51,39,29,90,0,10,4,366.21446,19,19.27445
830,For Youth,BTS,1,2022,6,10,327,0,114546317,117,D,Major,63,29,51,43,0,25,4,114.54632,18,6.36368
831,Daylight,Harry Styles,1,2022,5,20,2775,0,290833204,146,0,Major,69,63,45,48,0,18,4,290.8332,19,15.30701
832,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,2022,5,6,4576,0,448500832,160,G#,Minor,80,74,60,8,0,14,26,448.50083,20,22.42504
833,Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,6,10,2313,0,136676504,120,G,Major,88,15,56,1,0,8,6,136.6765,18,7.59314
834,Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,2022,5,27,3983,0,190625045,100,B,Minor,82,76,70,16,0,8,5,190.62504,19,10.0329
835,Born Singer,BTS,1,2022,6,10,279,0,79095270,158,G#,Minor,60,68,84,4,0,24,11,79.09527,18,4.39418
836,Little Freak,Harry Styles,1,2022,5,20,2302,0,273194684,142,D#,Major,56,40,54,72,0,10,4,273.19468,19,14.37867
837,La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,2022,5,20,3559,3,333146475,170,A,Minor,80,77,85,11,0,17,14,333.14648,19,17.53403
838,True Love,"Kanye West, XXXTENTACION",2,2022,5,27,2129,0,194902696,84,F,Minor,71,39,86,2,0,51,25,194.9027,19,10.25804
839,Satellite,Harry Styles,1,2022,5,20,3291,5,311482393,139,0,Major,58,30,46,14,0,9,3,311.48239,19,16.39381
840,Pass The Dutchie,Musical Youth,1,1982,1,1,5328,0,195918494,151,G,Major,73,88,67,20,0,32,5,195.91849,511,0.3834
841,"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,2022,6,8,1401,0,248511839,128,C#,Minor,82,42,75,6,0,63,6,248.51184,19,13.07957
842,Love Of My Life,Harry Styles,1,2022,5,20,1933,0,233671263,118,G,Major,56,20,54,67,0,6,5,233.67126,19,12.29849
843,Grapejuice,Harry Styles,1,2022,5,20,1986,0,199587884,183,F,Major,65,88,72,36,14,20,3,199.58788,19,10.50463
844,So Good,Halsey,1,2022,6,9,1057,0,91781263,83,D#,Minor,63,29,62,4,0,18,4,91.78126,19,4.83059
845,Belly Dancer,"BYOR, Imanbek",2,2022,2,18,5115,13,383835984,122,C#,Major,85,42,80,6,0,17,14,383.83598,22,17.44709
846,Keep Driving,Harry Styles,1,2022,5,20,2094,1,236060709,165,A,Major,72,90,48,32,0,18,23,236.06071,19,12.42425
847,Cinema,Harry Styles,1,2022,5,20,2171,0,189236868,106,A,Minor,83,90,64,35,5,9,4,189.23687,19,9.95984
848,Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022,5,25,896,0,160845341,77,B,Major,81,68,58,83,0,11,34,160.84534,19,8.46554
849,Only Love Can Hurt Like This,Paloma Faith,1,2014,1,1,5148,0,588955257,91,G#,Major,57,30,89,10,0,33,8,588.95526,121,4.8674
